Placeholder,0,0,0,0,0,0,0,0,0,0,0,1,224,224,3,0
Conv2D,1,224,224,3,0,7,7,3,63,4,4,1,56,56,63,0
Relu,1,56,56,63,0,0,0,0,0,0,0,1,56,56,63,0
MaxPool,1,56,56,63,0,3,3,0,0,2,2,1,28,28,63,0
Conv2D,1,28,28,63,0,1,1,63,38,1,1,1,28,28,38,0
Relu,1,28,28,38,0,0,0,0,0,0,0,1,28,28,38,0
MaxPool,1,28,28,38,0,3,3,0,0,2,2,1,13,13,38,0
Conv2D,1,13,13,38,0,3,3,38,652,1,1,1,13,13,652,0
Relu,1,13,13,652,0,0,0,0,0,0,0,1,13,13,652,0
Conv2D,1,13,13,652,0,7,7,652,204,1,1,1,13,13,204,0
Relu,1,13,13,204,0,0,0,0,0,0,0,1,13,13,204,0
Conv2D,1,13,13,204,0,3,3,204,179,1,1,1,13,13,179,0
Relu,1,13,13,179,0,0,0,0,0,0,0,1,13,13,179,0
MaxPool,1,13,13,179,0,3,3,0,0,2,2,1,179,0,0,0
Mean,1,179,0,0,0,0,0,0,0,0,0,1,179,0,0,0
Reshape,1,179,0,0,0,0,0,0,0,0,0,-1,179,0,0,0
MatMul,-1,179,0,0,0,0,0,0,0,0,0,-1,2867,0,0,0
Relu,-1,2867,0,0,0,0,0,0,0,0,0,-1,2867,0,0,0
MatMul,-1,2867,0,0,0,0,0,0,0,0,0,-1,4505,0,0,0
Relu,-1,4505,0,0,0,0,0,0,0,0,0,-1,4505,0,0,0
MatMul,-1,4505,0,0,0,0,0,0,0,0,0,-1,1000,0,0,0
Placeholder,0,0,0,0,0,0,0,0,0,0,0,1,224,224,3,0
Conv2D,1,224,224,3,0,1,1,3,51,4,4,1,56,56,51,0
Relu,1,56,56,51,0,0,0,0,0,0,0,1,56,56,51,0
MaxPool,1,56,56,51,0,3,3,0,0,2,2,1,28,28,51,0
Conv2D,1,28,28,51,0,3,3,51,96,1,1,1,28,28,96,0
Relu,1,28,28,96,0,0,0,0,0,0,0,1,28,28,96,0
MaxPool,1,28,28,96,0,3,3,0,0,2,2,1,13,13,96,0
Conv2D,1,13,13,96,0,3,3,96,652,1,1,1,13,13,652,0
Relu,1,13,13,652,0,0,0,0,0,0,0,1,13,13,652,0
Conv2D,1,13,13,652,0,3,3,652,409,1,1,1,13,13,409,0
Relu,1,13,13,409,0,0,0,0,0,0,0,1,13,13,409,0
Conv2D,1,13,13,409,0,5,5,409,435,1,1,1,13,13,435,0
Relu,1,13,13,435,0,0,0,0,0,0,0,1,13,13,435,0
MaxPool,1,13,13,435,0,3,3,0,0,2,2,1,435,0,0,0
Mean,1,435,0,0,0,0,0,0,0,0,0,1,435,0,0,0
Reshape,1,435,0,0,0,0,0,0,0,0,0,-1,435,0,0,0
MatMul,-1,435,0,0,0,0,0,0,0,0,0,-1,4915,0,0,0
Relu,-1,4915,0,0,0,0,0,0,0,0,0,-1,4915,0,0,0
MatMul,-1,4915,0,0,0,0,0,0,0,0,0,-1,3276,0,0,0
Relu,-1,3276,0,0,0,0,0,0,0,0,0,-1,3276,0,0,0
MatMul,-1,3276,0,0,0,0,0,0,0,0,0,-1,1000,0,0,0
Placeholder,0,0,0,0,0,0,0,0,0,0,0,1,224,224,3,0
Conv2D,1,224,224,3,0,3,3,3,76,4,4,1,56,56,76,0
Relu,1,56,56,76,0,0,0,0,0,0,0,1,56,56,76,0
MaxPool,1,56,56,76,0,3,3,0,0,2,2,1,28,28,76,0
Conv2D,1,28,28,76,0,3,3,76,96,1,1,1,28,28,96,0
Relu,1,28,28,96,0,0,0,0,0,0,0,1,28,28,96,0
MaxPool,1,28,28,96,0,3,3,0,0,2,2,1,13,13,96,0
Conv2D,1,13,13,96,0,3,3,96,422,1,1,1,13,13,422,0
Relu,1,13,13,422,0,0,0,0,0,0,0,1,13,13,422,0
Conv2D,1,13,13,422,0,5,5,422,384,1,1,1,13,13,384,0
Relu,1,13,13,384,0,0,0,0,0,0,0,1,13,13,384,0
Conv2D,1,13,13,384,0,7,7,384,255,1,1,1,13,13,255,0
Relu,1,13,13,255,0,0,0,0,0,0,0,1,13,13,255,0
MaxPool,1,13,13,255,0,3,3,0,0,2,2,1,255,0,0,0
Mean,1,255,0,0,0,0,0,0,0,0,0,1,255,0,0,0
Reshape,1,255,0,0,0,0,0,0,0,0,0,-1,255,0,0,0
MatMul,-1,255,0,0,0,0,0,0,0,0,0,-1,2867,0,0,0
Relu,-1,2867,0,0,0,0,0,0,0,0,0,-1,2867,0,0,0
MatMul,-1,2867,0,0,0,0,0,0,0,0,0,-1,5734,0,0,0
Relu,-1,5734,0,0,0,0,0,0,0,0,0,-1,5734,0,0,0
MatMul,-1,5734,0,0,0,0,0,0,0,0,0,-1,1000,0,0,0
Placeholder,0,0,0,0,0,0,0,0,0,0,0,1,224,224,3,0
Conv2D,1,224,224,3,0,1,1,3,102,4,4,1,56,56,102,0
Relu,1,56,56,102,0,0,0,0,0,0,0,1,56,56,102,0
MaxPool,1,56,56,102,0,3,3,0,0,2,2,1,28,28,102,0
Conv2D,1,28,28,102,0,1,1,102,307,1,1,1,28,28,307,0
Relu,1,28,28,307,0,0,0,0,0,0,0,1,28,28,307,0
MaxPool,1,28,28,307,0,3,3,0,0,2,2,1,13,13,307,0
Conv2D,1,13,13,307,0,5,5,307,614,1,1,1,13,13,614,0
Relu,1,13,13,614,0,0,0,0,0,0,0,1,13,13,614,0
Conv2D,1,13,13,614,0,5,5,614,384,1,1,1,13,13,384,0
Relu,1,13,13,384,0,0,0,0,0,0,0,1,13,13,384,0
Conv2D,1,13,13,384,0,7,7,384,307,1,1,1,13,13,307,0
Relu,1,13,13,307,0,0,0,0,0,0,0,1,13,13,307,0
MaxPool,1,13,13,307,0,3,3,0,0,2,2,1,307,0,0,0
Mean,1,307,0,0,0,0,0,0,0,0,0,1,307,0,0,0
Reshape,1,307,0,0,0,0,0,0,0,0,0,-1,307,0,0,0
MatMul,-1,307,0,0,0,0,0,0,0,0,0,-1,3276,0,0,0
Relu,-1,3276,0,0,0,0,0,0,0,0,0,-1,3276,0,0,0
MatMul,-1,3276,0,0,0,0,0,0,0,0,0,-1,6144,0,0,0
Relu,-1,6144,0,0,0,0,0,0,0,0,0,-1,6144,0,0,0
MatMul,-1,6144,0,0,0,0,0,0,0,0,0,-1,1000,0,0,0
Placeholder,0,0,0,0,0,0,0,0,0,0,0,1,224,224,3,0
Conv2D,1,224,224,3,0,7,7,3,25,4,4,1,56,56,25,0
Relu,1,56,56,25,0,0,0,0,0,0,0,1,56,56,25,0
MaxPool,1,56,56,25,0,3,3,0,0,2,2,1,28,28,25,0
Conv2D,1,28,28,25,0,1,1,25,57,1,1,1,28,28,57,0
Relu,1,28,28,57,0,0,0,0,0,0,0,1,28,28,57,0
MaxPool,1,28,28,57,0,3,3,0,0,2,2,1,13,13,57,0
Conv2D,1,13,13,57,0,5,5,57,192,1,1,1,13,13,192,0
Relu,1,13,13,192,0,0,0,0,0,0,0,1,13,13,192,0
Conv2D,1,13,13,192,0,7,7,192,76,1,1,1,13,13,76,0
Relu,1,13,13,76,0,0,0,0,0,0,0,1,13,13,76,0
Conv2D,1,13,13,76,0,3,3,76,332,1,1,1,13,13,332,0
Relu,1,13,13,332,0,0,0,0,0,0,0,1,13,13,332,0
MaxPool,1,13,13,332,0,3,3,0,0,2,2,1,332,0,0,0
Mean,1,332,0,0,0,0,0,0,0,0,0,1,332,0,0,0
Reshape,1,332,0,0,0,0,0,0,0,0,0,-1,332,0,0,0
MatMul,-1,332,0,0,0,0,0,0,0,0,0,-1,2457,0,0,0
Relu,-1,2457,0,0,0,0,0,0,0,0,0,-1,2457,0,0,0
MatMul,-1,2457,0,0,0,0,0,0,0,0,0,-1,5734,0,0,0
Relu,-1,5734,0,0,0,0,0,0,0,0,0,-1,5734,0,0,0
MatMul,-1,5734,0,0,0,0,0,0,0,0,0,-1,1000,0,0,0
Placeholder,0,0,0,0,0,0,0,0,0,0,0,1,224,224,3,0
Conv2D,1,224,224,3,0,5,5,3,25,4,4,1,56,56,25,0
Relu,1,56,56,25,0,0,0,0,0,0,0,1,56,56,25,0
MaxPool,1,56,56,25,0,3,3,0,0,2,2,1,28,28,25,0
Conv2D,1,28,28,25,0,7,7,25,288,1,1,1,28,28,288,0
Relu,1,28,28,288,0,0,0,0,0,0,0,1,28,28,288,0
MaxPool,1,28,28,288,0,3,3,0,0,2,2,1,13,13,288,0
Conv2D,1,13,13,288,0,5,5,288,345,1,1,1,13,13,345,0
Relu,1,13,13,345,0,0,0,0,0,0,0,1,13,13,345,0
Conv2D,1,13,13,345,0,1,1,345,179,1,1,1,13,13,179,0
Relu,1,13,13,179,0,0,0,0,0,0,0,1,13,13,179,0
Conv2D,1,13,13,179,0,5,5,179,128,1,1,1,13,13,128,0
Relu,1,13,13,128,0,0,0,0,0,0,0,1,13,13,128,0
MaxPool,1,13,13,128,0,3,3,0,0,2,2,1,128,0,0,0
Mean,1,128,0,0,0,0,0,0,0,0,0,1,128,0,0,0
Reshape,1,128,0,0,0,0,0,0,0,0,0,-1,128,0,0,0
MatMul,-1,128,0,0,0,0,0,0,0,0,0,-1,1638,0,0,0
Relu,-1,1638,0,0,0,0,0,0,0,0,0,-1,1638,0,0,0
MatMul,-1,1638,0,0,0,0,0,0,0,0,0,-1,6553,0,0,0
Relu,-1,6553,0,0,0,0,0,0,0,0,0,-1,6553,0,0,0
MatMul,-1,6553,0,0,0,0,0,0,0,0,0,-1,1000,0,0,0
Placeholder,0,0,0,0,0,0,0,0,0,0,0,1,224,224,3,0
Conv2D,1,224,224,3,0,7,7,3,63,4,4,1,56,56,63,0
Relu,1,56,56,63,0,0,0,0,0,0,0,1,56,56,63,0
MaxPool,1,56,56,63,0,3,3,0,0,2,2,1,28,28,63,0
Conv2D,1,28,28,63,0,3,3,63,230,1,1,1,28,28,230,0
Relu,1,28,28,230,0,0,0,0,0,0,0,1,28,28,230,0
MaxPool,1,28,28,230,0,3,3,0,0,2,2,1,13,13,230,0
Conv2D,1,13,13,230,0,7,7,230,115,1,1,1,13,13,115,0
Relu,1,13,13,115,0,0,0,0,0,0,0,1,13,13,115,0
Conv2D,1,13,13,115,0,1,1,115,128,1,1,1,13,13,128,0
Relu,1,13,13,128,0,0,0,0,0,0,0,1,13,13,128,0
Conv2D,1,13,13,128,0,7,7,128,76,1,1,1,13,13,76,0
Relu,1,13,13,76,0,0,0,0,0,0,0,1,13,13,76,0
MaxPool,1,13,13,76,0,3,3,0,0,2,2,1,76,0,0,0
Mean,1,76,0,0,0,0,0,0,0,0,0,1,76,0,0,0
Reshape,1,76,0,0,0,0,0,0,0,0,0,-1,76,0,0,0
MatMul,-1,76,0,0,0,0,0,0,0,0,0,-1,3276,0,0,0
Relu,-1,3276,0,0,0,0,0,0,0,0,0,-1,3276,0,0,0
MatMul,-1,3276,0,0,0,0,0,0,0,0,0,-1,4505,0,0,0
Relu,-1,4505,0,0,0,0,0,0,0,0,0,-1,4505,0,0,0
MatMul,-1,4505,0,0,0,0,0,0,0,0,0,-1,1000,0,0,0
Placeholder,0,0,0,0,0,0,0,0,0,0,0,1,224,224,3,0
Conv2D,1,224,224,3,0,1,1,3,19,4,4,1,56,56,19,0
Relu,1,56,56,19,0,0,0,0,0,0,0,1,56,56,19,0
MaxPool,1,56,56,19,0,3,3,0,0,2,2,1,28,28,19,0
Conv2D,1,28,28,19,0,5,5,19,115,1,1,1,28,28,115,0
Relu,1,28,28,115,0,0,0,0,0,0,0,1,28,28,115,0
MaxPool,1,28,28,115,0,3,3,0,0,2,2,1,13,13,115,0
Conv2D,1,13,13,115,0,7,7,115,499,1,1,1,13,13,499,0
Relu,1,13,13,499,0,0,0,0,0,0,0,1,13,13,499,0
Conv2D,1,13,13,499,0,3,3,499,204,1,1,1,13,13,204,0
Relu,1,13,13,204,0,0,0,0,0,0,0,1,13,13,204,0
